  julian_date mpsi  mwsi
 j1230.232  0.7188367  0.0711064
 j1231.208  0.9384699  0.0934794
 j1232.184  0.7855263  0.0593386
 j1233.182  0.7781712  0.0578149
 j1234.426  0.8450872  0.0113433
 j1235.228  0.5920910  0.0000000
 j1236.189  0.7837700  0.0000000
 j1237.286  0.8485256  0.0131311
 j1238.227  1.1595160  0.0795664
 j1239.247  1.1300730  0.0723024
 j1244.248  0.9283336  0.5013236
 j1245.232  0.8555523  0.7409408
 j1246.211  0.9163065  0.9790868
 j1247.187  0.9785464  0.9734079
 j1250.184  0.9229741  0.6982580
 j1251.226  0.9820497  0.6345739
 j1253.442  1.1891340  0.2628723
 j1254.398  1.1180151  0.2469058
 j1255.250  1.3115580  0.3869440
 j1256.232  1.2636390  0.2243235
 j1257.296  1.3373260  0.3510473
 j1258.365  0.8080405  0.1892779
 j1259.500  0.8850833  0.3177041
 j1260.371  0.8935446  0.2346543
 j1261.267  0.9504485  0.2407964
 j1269.216  0.8565083  0.0184865
 j1270.473  1.2186230  0.1086894
 j1271.229  1.3277960  0.2769720
 j1272.277  1.6998080  0.4661366
 j1273.200  1.2863840  0.3192669
 j1275.239  1.2435660  0.2732907
 j1277.212  1.2536761  0.3282990
 j1278.250  1.3347590  0.3491997
 j1279.229  1.5215250  0.4858195
 j1280.241  1.5940400  0.6321223
 j1281.218  1.4076080  0.5841827
 j1282.227  1.6966480  1.1590790
 j1287.258  1.5200340  0.2389744
 j1290.434  0.8330365  0.4033432
 j1291.273  0.9808350  0.5277590
 j1292.298  1.2805480  0.5330821
 j1293.303  1.4546990  0.5914859
 j1294.251  1.7390749  0.6855713
 j1295.296  2.0403891  0.7464955
 j1296.227  2.0400491  0.5858183
 j1300.480  1.6238760  0.4505665
 j1301.214  1.4035560  0.2497225
 j1302.415  1.1797190  0.2569227
 j1306.278  1.7843790  0.7132143
 j1317.321  0.9740744  0.1354761
 j1318.293  1.0533980  0.1381795
 j1319.269  1.2161340  0.1006283
 j1320.263  1.0166180  0.0791759
 j1321.243  1.1866410  0.0985465
 j1322.241  1.1771750  0.1037576
 j1323.311  1.2409970  0.1014566
 j1325.244  0.8769556  0.0000000
 j1326.250  1.0266080  0.0092860
 j1327.455  0.8820554  0.0086526
 j1328.303  0.7749357  0.0295093
 j1330.308  0.6737108  0.0705030
 j1331.267  0.5163859  0.0094782
 j1335.233  1.3463510  0.3680454
 j1336.228  1.5825280  0.6798290
 j1337.234  1.6670930  0.6726410
 j1338.232  1.7057559  0.7083268
 j1340.232  1.6661800  0.5398675
 j1341.254  1.4310360  0.4283053
 j1345.278  1.7859310  0.2844960
 j1347.233  1.2580930  0.1501372
 j1348.229  1.3702080  0.2052450
 j1350.314  0.6267171  0.0086463
 j1359.434  0.9176166  0.1287514
 j1360.227  1.3946249  0.1427155
 j1361.267  1.4784460  0.1766064
 j1362.275  1.3931010  0.1101494
 j1363.264  1.1580930  0.0429977
 j1365.217  1.7847270  0.2117854
 j1367.239  1.8319610  0.3641108
 j1368.224  1.7405330  0.2653289
 j1370.227  1.5298860  0.3571459
 j1371.236  1.6619450  0.5499177
 j1372.221  1.6748090  0.5990003
 j1373.212  1.5074350  0.1762562
 j1375.228  1.4042540  0.1359792
 j1376.256  0.8725740  0.0571485
 j1377.246  0.8932883  0.0094019
 j1378.310  1.0209270  0.0605858
 j1379.209  1.4252510  0.2312658
 j1380.311  1.2521490  0.3881035
 j1381.252  1.2830870  0.3997289
 j1382.266  1.3070050  0.4599599
 j1383.197  1.3859200  0.3005884
 j1384.264  1.2171520  0.6515522
 j1385.187  1.5360920  0.4869374
 j1386.267  1.4716090  0.8084654
 j1387.295  1.6782390  0.6565461
 j1388.239  1.7134550  0.7048342
 j1389.494  1.5668480  0.4442522
 j1395.456  1.7995830  0.1202213
 j1396.210  2.0260551  0.2139657
 j1397.207  1.7523190  0.2520339
 j1398.270  1.6304910  0.2430021
 j1399.158  1.6312990  0.3202329
 j1401.309  1.6677070  0.2932320
 j1402.257  1.6296860  0.2462528
 j1404.212  1.0041860  0.0442782
 j1405.225  0.7611160  0.0000000
 j1406.167  0.7256114  0.0000000
 j1408.439  0.8459699  0.1174590
 j1410.219  0.7924253  0.1285150
 j1411.206  0.9491682  0.0501760
 j1412.275  1.0084770  0.0721701
 j1414.292  1.2241530  0.0395769
 j1415.470  1.8282090  0.1776555
 j1416.238  1.5198240  0.1063464
 j1417.301  1.7664540  0.2261247
 j1421.323  2.0560801  0.1821060
 j1422.232  1.6806160  0.0681107
 j1424.263  1.9689320  0.1066972
 j1428.169  1.2608939  0.3002022
 j1429.476  1.3889180  0.2964833
 j1430.174  1.3826180  0.2186085
 j1431.197  1.5960979  0.2198720
 j1436.490  1.2571750  0.0709536
 j1437.219  1.1283350  0.0656570
 j1439.170  1.4566480  0.0447059
 j1442.294  1.4676890  0.1550323
 j1445.239  2.1552939  0.9205378
 j1446.277  2.1046791  0.6450437
 j1447.272  2.1817670  0.6518680
 j1448.416  2.3832681  0.8393492
 j1449.276  2.0999320  0.6480045
 j1450.306  2.1915710  0.6413642
 j1451.312  2.1634879  0.6555674
 j1452.319  2.5978019  0.8643152
 j1453.513  2.2579370  0.9192172
 j1454.203  2.5615840  1.3239350
 j1460.500  1.5854290  0.5043359
 j1461.241  1.4143620  0.4215175
 j1462.502  1.0927240  0.2697086
 j1463.452  0.8255938  0.1775699
 j1464.279  0.8855187  0.2107182
 j1465.448  1.1059500  0.4238456
 j1466.156  0.9374676  0.4073502
 j1467.167  0.9711945  0.4545505
 j1468.162  1.2926199  0.4277409
 j1469.409  1.6720020  0.4576870
 j1470.227  2.0863650  0.6882451
 j1471.309  2.1919410  0.4924406
 j1472.295  2.6424520  0.9608045
 j1473.266  2.4056370  0.8935621
 j1474.249  2.4322040  0.7396716
 j1476.517  2.3681059  0.6248994
 j1477.492  2.1800799  0.5742031
 j1486.282  2.3032379  0.6302966
 j1487.235  2.2340879  0.9738232
 j1490.240  1.8654100  0.7145511
 j1492.185  1.6434520  0.6509907
 j1493.163  1.6002181  0.4689967
 j1494.154  1.4368930  0.2876263
 j1495.104  1.5971780  0.2419763
 j1500.205  2.3297460  0.4781992
 j1501.298  1.9787390  0.3977247
 j1502.301  2.1606669  0.3053079
 j1503.431  2.3895040  0.4992437
 j1504.281  2.3704641  0.4408943
 j1505.477  2.0650229  0.2688510
 j1507.479  2.2902291  0.4462125
 j1509.433  2.0887959  0.3336321
 j1510.181  2.2336810  0.2501633
 j1511.183  1.5062211  0.1046356
 j1512.153  1.7653540  0.1670786
 j1513.157  1.7073320  0.2040692
