 980308  6642.50  1365.6532
 980309  6643.50  1365.6784
 980310  6644.50  1365.7427
 980311  6645.50  1365.8381
 980312  6646.50  1365.8144
 980313  6647.50  1365.7884
 980314  6648.50  1365.5342
 980315  6649.50  1365.1405
 980316  6650.50  1365.0602
 980317  6651.50  1365.2056
 980318  6652.50  1365.4491
 980319  6653.50  1365.7021
 980320  6654.50  1365.9096
 980321  6655.50  1366.0507
 980322  6656.50  1365.9688
 980323  6657.50  1365.7961
 980324  6658.50  1365.6101
 980325  6659.50  1365.5148
 980326  6660.50   -99.0000
 980327  6661.50  1365.3171
 980328  6662.50  1365.5192
 980329  6663.50  1365.5556
 980330  6664.50  1365.5595
 980331  6665.50  1365.5204
 980401  6666.50  1365.5172
 980402  6667.50  1365.5637
 980403  6668.50  1365.5511
 980404  6669.50  1365.5482
 980405  6670.50  1365.4840
 980406  6671.50  1365.5889
 980407  6672.50  1365.7440
 980408  6673.50  1365.7828
 980409  6674.50  1365.7941
 980410  6675.50  1365.7285
 980411  6676.50  1365.8180
 980412  6677.50  1365.9241
 980413  6678.50  1366.0149
 980414  6679.50  1366.1242
 980415  6680.50  1366.2005
 980416  6681.50  1366.3128
 980417  6682.50  1366.3297
 980418  6683.50  1366.1733
 980419  6684.50  1366.0973
 980420  6685.50  1365.9491
 980421  6686.50  1365.8771
 980422  6687.50  1365.9178
 980423  6688.50  1365.9052
 980424  6689.50  1365.8251
 980425  6690.50  1365.8695
 980426  6691.50  1365.8385
 980427  6692.50  1365.7809
 980428  6693.50  1365.6983
 980429  6694.50  1365.5922
 980430  6695.50  1365.5204
 980501  6696.50  1365.3191
 980502  6697.50  1365.1224
 980503  6698.50  1365.0871
 980504  6699.50  1365.1285
 980505  6700.50  1365.2476
 980506  6701.50  1365.5322
 980507  6702.50  1365.7703
 980508  6703.50  1365.8870
 980509  6704.50  1365.9394
 980510  6705.50  1365.9240
 980511  6706.50  1365.9045
 980512  6707.50  1365.9090
 980513  6708.50  1365.9342
 980514  6709.50  1365.9172
 980515  6710.50  1365.8755
 980516  6711.50  1365.7774
 980517  6712.50  1365.7913
 980518  6713.50  1365.8830
 980519  6714.50  1365.9064
 980520  6715.50  1365.9521
 980521  6716.50  1366.0136
 980522  6717.50  1365.9800
 980523  6718.50  1365.8724
 980524  6719.50  1365.5435
 980525  6720.50  1365.5107
 980526  6721.50  1365.6067
 980527  6722.50  1365.7679
 980528  6723.50  1365.7759
 980529  6724.50  1365.7011
 980530  6725.50  1365.6893
 980531  6726.50  1365.6837
 980601  6727.50  1365.6684
 980602  6728.50  1365.6369
 980603  6729.50  1365.7430
 980604  6730.50  1365.7786
 980605  6731.50  1365.8076
 980606  6732.50  1365.6822
 980607  6733.50  1365.7083
 980608  6734.50  1365.7769
 980609  6735.50  1365.8177
 980610  6736.50  1365.8314
 980611  6737.50  1365.9812
 980612  6738.50  1366.0589
 980613  6739.50  1366.0960
 980614  6740.50  1366.1182
 980615  6741.50  1366.0077
 980616  6742.50  1365.8989
 980617  6743.50  1365.8185
 980618  6744.50  1365.7831
 980619  6745.50  1365.7549
 980620  6746.50  1365.6782
 980621  6747.50  1365.6489
 980622  6748.50  1365.7149
 980623  6749.50  1365.8215
 980624  6750.50  1365.8346
 980625  6751.50  1365.9648
 980626  6752.50  1365.8648
 980627  6753.50  1365.7336
 980628  6754.50  1365.8287
 980629  6755.50   -99.0000
 980630  6756.50   -99.0000
 980701  6757.50   -99.0000
 980702  6758.50   -99.0000
 980703  6759.50   -99.0000
 980704  6760.50  1366.3121
 980705  6761.50  1366.1960
 980706  6762.50  1366.2151
 980707  6763.50  1366.0930
 980708  6764.50  1366.2711
 980709  6765.50  1366.2911
 980710  6766.50  1366.3972
 980711  6767.50  1366.2871
 980712  6768.50  1366.3832
 980713  6769.50  1366.3792
 980714  6770.50  1366.2831
 980715  6771.50  1366.1520
 980716  6772.50  1365.9678
 980717  6773.50  1365.9869
 980718  6774.50  1365.9548
 980719  6775.50  1366.0629
 980720  6776.50  1366.1030
 980721  6777.50  1366.1050
 980722  6778.50  1365.9919
 980723  6779.50  1365.9218
 980724  6780.50  1365.9498
 980725  6781.50   -99.0000
 980726  6782.50   -99.0000
 980727  6783.50   -99.0000
 980728  6784.50   -99.0000
 980729  6785.50   -99.0000
 980730  6786.50   -99.0000
 980731  6787.50  1366.1285
 980801  6788.50  1366.1785
 980802  6789.50  1366.1094
 980803  6790.50  1366.2706
 980804  6791.50  1366.1895
 980805  6792.50  1366.0924
 980806  6793.50  1366.0554
 980807  6794.50  1365.8232
 980808  6795.50  1365.7951
 980809  6796.50  1365.7691
 980810  6797.50  1365.4718
 980811  6798.50  1365.3187
 980812  6799.50  1365.3788
 980813  6800.50  1365.3127
 980814  6801.50  1365.3737
