time,mg_index
2451137.0,0.27120
2451138.0,0.27140
2451139.0,0.27032
2451140.0,0.27120
2451141.0,0.27189
2451142.0,0.27325
2451143.0,0.27442
2451144.0,0.27530
2451145.0,0.27530
2451146.0,0.27696
2451147.0,0.27716
2451148.0,0.27764
2451149.0,0.27862
2451150.0,0.27813
2451151.0,0.27599
2451152.0,0.27540
2451153.0,0.27442
2451154.0,0.27423
2451155.0,0.27355
2451156.0,0.27364
2451157.0,0.27335
2451158.0,0.27345
2451159.0,0.27276
2451160.0,0.27247
2451161.0,0.27267
2451162.0,0.27267
2451163.0,0.27335
2451164.0,0.27247
2451165.0,0.27189
2451166.0,0.27218
2451167.0,0.27179
2451168.0,0.27296
2451169.0,0.27384
2451170.0,0.27394
2451171.0,0.27462
2451172.0,0.27452
2451173.0,0.27491
2451174.0,0.27550
2451175.0,0.27638
2451176.0,0.27677
2451177.0,0.27618
2451178.0,0.27745
2451179.0,0.27608
2451180.0,0.27550
2451181.0,0.27394
2451182.0,0.27335
2451183.0,0.27296
2451184.0,0.27228
2451185.0,0.27218
2451186.0,0.27101
2451187.0,0.27111
2451188.0,0.27052
2451189.0,0.26915
2451190.0,0.27140
2451191.0,0.27130
2451192.0,0.27159
2451193.0,0.27296
2451194.0,0.27374
2451195.0,0.27472
2451196.0,0.27618
2451197.0,0.27608
2451198.0,0.27745
2451199.0,0.27735
2451200.0,0.27735
2451201.0,0.27657
2451202.0,0.27696
2451203.0,0.27579
2451204.0,0.27550
2451205.0,0.27550
2451206.0,0.27462
2451207.0,0.27442
2451208.0,0.27306
2451209.0,0.27228
2451210.0,0.27140
2451211.0,0.27091
2451212.0,0.26974
2451213.0,0.26993
2451214.0,0.26984
2451215.0,0.26935
2451216.0,0.26945
2451217.0,0.26954
2451218.0,0.27052
2451219.0,0.27150
2451220.0,0.27247
2451221.0,0.27374
2451222.0,0.27403
2451223.0,0.27599
2451224.0,0.27813
2451225.0,0.27813
2451226.0,0.27823
2451227.0,0.27803
2451228.0,0.27657
2451229.0,0.27550
2451230.0,0.27579
2451231.0,0.27452
2451232.0,0.27345
2451233.0,0.27306
2451234.0,0.27286
2451235.0,0.27276
2451236.0,0.27169
2451237.0,0.27130
2451238.0,0.27111
2451239.0,0.27120
2451240.0,0.27101
2451241.0,0.27120
2451242.0,0.27042
2451243.0,0.27111
2451244.0,0.27130
2451245.0,0.27179
2451246.0,0.27267
2451247.0,0.27315
2451248.0,0.27442
2451249.0,0.27413
2451250.0,0.27579
2451251.0,0.27677
2451252.0,0.27647
2451253.0,0.27696
2451254.0,0.27569
2451255.0,0.27481
2451256.0,0.27481
2451257.0,0.27315
2451258.0,0.27237
2451259.0,0.27179
2451260.0,0.27052
2451261.0,0.27169
2451262.0,0.27003
2451263.0,0.27052
2451264.0,0.27130
2451265.0,0.27013
2451266.0,0.27052
2451267.0,0.27062
2451268.0,0.27101
2451269.0,0.27052
2451270.0,0.27013
2451271.0,0.27071
2451272.0,0.27179
2451273.0,0.27169
2451274.0,0.27306
2451275.0,0.27403
2451276.0,0.27472
2451277.0,0.27520
2451278.0,0.27520
2451279.0,0.27579
2451280.0,0.27559
2451281.0,0.27501
2451282.0,0.27355
2451283.0,0.27325
2451284.0,0.27247
2451285.0,0.27120
2451286.0,0.27081
2451287.0,0.26993
2451288.0,0.26867
2451289.0,0.26808
2451290.0,0.26740
2451291.0,0.26886
2451292.0,0.26876
2451293.0,0.26886
2451294.0,0.26925
2451295.0,0.26945
2451296.0,0.26974
2451297.0,0.27023
2451298.0,0.27062
2451299.0,0.27179
2451300.0,0.27384
2451301.0,0.27374
2451302.0,0.27540
2451303.0,0.27550
2451304.0,0.27599
2451305.0,0.27755
2451306.0,0.27882
2451307.0,0.27940
2451308.0,0.27833
2451309.0,0.27764
2451310.0,0.27725
2451311.0,0.27686
2451312.0,0.27550
2451313.0,0.27462
2451314.0,0.27364
2451315.0,0.27325
2451316.0,0.27208
2451317.0,0.27130
2451318.0,0.27208
2451319.0,0.27218
2451320.0,0.27257
2451321.0,0.27286
