time,LymanAlpha,type
1999190,5.02,1
1999191,4.95,1
1999192,4.87,1
1999193,4.79,1
1999194,4.73,1
1999195,4.67,1
1999196,4.62,1
1999197,4.58,1
1999198,4.57,1
1999199,4.57,1
1999200,4.59,1
1999201,4.62,1
1999202,4.64,1
1999203,4.65,1
1999204,4.67,1
1999205,4.71,1
1999206,4.75,1
1999207,4.83,1
1999208,4.96,1
1999209,5.13,1
1999210,5.27,1
1999211,5.32,1
1999212,5.32,1
1999213,5.28,1
1999214,5.27,1
1999215,5.24,1
1999216,5.17,1
1999217,5.08,1
1999218,4.96,1
1999219,4.88,1
1999220,4.79,1
1999221,4.70,1
1999222,4.58,1
1999223,4.49,1
1999224,4.46,1
1999225,4.48,1
1999226,4.50,1
1999227,4.49,1
1999228,4.49,1
1999229,4.50,1
1999230,4.52,1
1999231,4.55,1
1999232,4.61,1
1999233,4.73,1
1999234,4.87,1
1999235,4.99,1
1999236,5.05,1
1999237,5.15,1
1999238,5.22,1
1999239,5.33,1
1999240,5.38,1
1999241,5.40,1
1999242,5.39,1
1999243,5.34,1
1999244,5.27,1
1999245,5.15,1
1999246,5.03,1
1999247,4.92,1
1999248,4.80,1
1999249,4.69,1
1999250,4.60,1
1999251,4.55,1
1999252,4.54,1
1999253,4.54,1
1999254,4.57,1
1999255,4.60,1
1999256,4.64,1
1999257,4.67,1
1999258,4.67,1
1999259,4.70,1
1999260,4.71,1
1999261,4.73,1
1999262,4.74,1
1999263,4.77,1
1999264,4.81,1
1999265,4.84,1
1999266,4.86,1
1999267,4.84,1
1999268,4.79,1
1999269,4.75,1
1999270,4.73,1
1999271,4.72,1
1999272,4.69,1
1999273,4.66,1
1999274,4.65,1
1999275,4.66,1
1999276,4.70,1
1999277,4.75,1
1999278,4.82,1
1999279,4.86,1
1999280,4.91,1
1999281,4.92,1
1999282,4.95,1
1999283,4.94,1
1999284,4.96,1
1999285,4.97,1
1999286,4.98,1
1999287,4.99,1
1999288,4.96,1
1999289,4.93,1
1999290,4.91,1
1999291,4.89,1
1999292,4.84,1
1999293,4.77,1
1999294,4.71,1
1999295,4.66,1
1999296,4.64,1
1999297,4.64,1
1999298,4.70,1
1999299,4.77,1
1999300,4.82,1
1999301,4.88,1
1999302,4.97,1
1999303,5.06,1
1999304,5.09,1
1999305,5.06,1
1999306,5.00,1
1999307,4.95,1
1999308,4.93,1
1999309,4.92,1
1999310,4.97,1
1999311,5.00,1
1999312,5.08,1
1999313,5.16,1
1999314,5.30,1
1999315,5.40,1
1999316,5.44,1
1999317,5.47,1
1999318,5.44,1
1999319,5.42,1
1999320,5.36,1
1999321,5.32,1
1999322,5.31,1
1999323,5.31,1
1999324,5.34,1
1999325,5.37,1
1999326,5.36,1
1999327,5.33,1
1999328,5.28,1
1999329,5.22,1
1999330,5.13,1
1999331,5.03,1
1999332,4.95,1
1999333,4.88,1
1999334,4.84,1
1999335,4.83,1
1999336,4.81,1
1999337,4.78,1
1999338,4.76,1
1999339,4.76,1
1999340,4.80,1
1999341,4.86,1
1999342,4.95,1
1999343,5.05,1
1999344,5.13,1
1999345,5.19,1
1999346,5.21,1
1999347,5.22,1
1999348,5.24,1
1999349,5.25,1
1999350,5.27,1
1999351,5.29,1
1999352,5.34,1
1999353,5.37,1
1999354,5.34,1
1999355,5.24,1
1999356,5.10,1
1999357,5.04,1
1999358,4.97,1
1999359,4.92,1
1999360,4.81,1
1999361,4.71,1
1999362,4.62,1
